Date,Open,High,Low,Close,Adj Close,Volume
11/25/2019,132.77,133.5,132.05,133.25,130.6854,20024600
11/26/2019,133.44,133.44,133.1,133.22,130.656,7625100
11/27/2019,133.35,133.63,133.26,133.52,130.9502,6111900
11/29/2019,133.49,133.8,133.46,133.8,131.2248,3185100
12/2/2019,133.59,134.03,133.4,133.55,130.9796,3901800
12/3/2019,133.38,133.6,133.26,133.36,130.7933,3846800
12/4/2019,133.4,133.72,133.32,133.72,131.1464,3548300
12/5/2019,133.6,133.74,133.38,133.55,130.9796,3912400
12/6/2019,133.62,133.68,133.41,133.55,130.9796,3627300
12/9/2019,133.45,133.6,133.39,133.48,130.911,2817200
12/10/2019,133.6,133.6,133.23,133.46,130.8914,1963000
12/11/2019,133.4,133.53,133.31,133.43,130.862,2690700
12/12/2019,133.41,133.64,133.41,133.57,130.9993,1912800
12/13/2019,133.55,133.76,133.42,133.7,131.1268,2934300
12/16/2019,133.76,133.8,133.56,133.6,131.0287,1942400
12/17/2019,133.63,133.75,133.62,133.7,131.1268,1342600
12/18/2019,133.65,133.85,133.62,133.65,131.0777,1700100
12/19/2019,133.27,133.5,133.2,133.45,131.452,1208800
12/20/2019,133.58,133.58,133.4,133.54,131.5407,1654200
12/23/2019,133.5,133.54,133.41,133.52,131.521,1165100
12/24/2019,133.52,133.6,133.48,133.59,131.5899,347700
12/26/2019,133.63,133.65,133.55,133.62,131.6195,956800
12/27/2019,133.61,133.85,133.58,133.78,131.7771,1068300
12/30/2019,133.75,133.8,133.45,133.48,131.4816,2886000
12/31/2019,133.5,133.75,133.49,133.65,131.649,1163400
1/2/2020,133.74,133.87,133.55,133.85,131.8461,1778800
1/3/2020,133.57,133.8,133.55,133.77,131.7673,1430400
1/6/2020,133.57,133.83,133.57,133.65,131.649,2024200
1/7/2020,133.62,133.75,133.58,133.63,131.6293,2341800
1/8/2020,133.7,133.86,133.66,133.84,131.8362,1640100
1/9/2020,133.85,133.94,133.76,133.79,131.7869,1510000
1/10/2020,133.78,133.9,133.72,133.83,131.8264,1564300
1/13/2020,133.84,133.91,133.76,133.86,131.8559,1684300
1/14/2020,133.85,134.04,133.8,134.04,132.0332,1369900
1/15/2020,133.91,134.1,133.88,134.08,132.0726,817300
1/16/2020,134.1,134.15,134.02,134.12,132.112,932300
1/17/2020,134.15,134.25,134.09,134.25,132.2401,1276100
1/21/2020,134.1,134.29,134.03,134.29,132.2794,1829600
1/22/2020,134.24,134.24,134.01,134.05,132.043,1100800
1/23/2020,134.03,134.26,134.02,134.21,132.2007,1262800
1/24/2020,134.16,134.39,134.12,134.29,132.2794,1051100
1/27/2020,134.01,134.14,134.01,134.08,132.0726,1797400
1/28/2020,134.08,134.2,134.03,134.09,132.0825,1546400
1/29/2020,134.12,134.25,134.06,134.09,132.0825,2369700
1/30/2020,134.05,134.15,133.93,134.08,132.0726,2371600
